30   0.189
25   0.189
20   0.189
15   0.189
10.0 0.1875
9.0  0.186
8.0  0.1825
7.0  0.177
6.0  0.168
5.0  0.154
4.0  0.133
3.0  0.101
2.5  0.079
2.0  0.053
1.5  0.022
